Date,High,Low,Open,Close,Volume,Adj Close
2015-01-02,44282.4375,40966.9296875,43374.078125,41012.34765625,1062594.0,40594.57421875
2015-01-05,42329.46875,40194.828125,41330.2734375,41966.125,912246.0,41538.6328125
2015-01-06,43192.40625,41466.52734375,42374.8828125,41466.52734375,948054.0,41044.125
2015-01-07,40558.16796875,37197.24609375,39059.37890625,39513.55859375,3256086.0,39111.05078125
2015-01-08,40240.24609375,38605.19921875,39604.39453125,39331.88671875,549048.0,38931.23046875
2015-01-09,41739.03515625,39513.55859375,39831.484375,41148.6015625,781100.0,40729.4375
2015-01-12,41875.2890625,39876.90234375,40785.2578125,40785.2578125,528868.0,40369.796875
2015-01-13,41784.453125,40876.09375,41375.69140625,41194.01953125,594205.0,40774.39453125
2015-01-14,42056.9609375,41057.765625,41693.6171875,41784.453125,434301.0,41358.8125
2015-01-15,41648.19921875,40285.66015625,41648.19921875,41012.34765625,606141.0,40594.57421875
2015-01-16,40966.9296875,40013.15625,40876.09375,40512.75,349539.0,40100.0625
2015-01-19,40649.00390625,39740.6484375,40603.5859375,39967.73828125,345206.0,39560.60546875
2015-01-20,40649.00390625,39786.06640625,39876.90234375,40649.00390625,315272.0,40234.9296875
2015-01-21,41421.109375,40376.49609375,41148.6015625,40876.09375,355442.0,40459.70703125
2015-01-22,41194.01953125,39150.21484375,41057.765625,39377.3046875,528154.0,38976.18359375
2015-01-23,40331.078125,39513.55859375,39967.73828125,39967.73828125,339911.0,39560.60546875
2015-01-26,40512.75,39059.37890625,39967.73828125,39377.3046875,499402.0,38976.18359375
2015-01-27,40376.49609375,39331.88671875,39377.3046875,40376.49609375,399130.0,39965.19921875
2015-01-28,40512.75,39786.06640625,39876.90234375,40285.66015625,260913.0,39875.2890625
2015-01-29,43601.16796875,40376.49609375,40603.5859375,42420.30078125,1434949.0,41988.18359375
2015-01-30,43601.16796875,42556.5546875,42965.31640625,43146.98828125,608161.0,42707.46875
2015-02-02,43464.9140625,41557.36328125,42011.54296875,42465.71875,640400.0,42033.13671875
2015-02-03,43010.734375,41330.2734375,42284.05078125,42601.97265625,610014.0,42168.00390625
2015-02-04,44100.765625,41920.70703125,42601.97265625,43555.75,1044163.0,43112.06640625
2015-02-05,44676.48046875,43538.2265625,44581.625,44012.49609375,430108.0,43564.16015625
2015-02-06,45814.734375,43348.515625,44012.49609375,45055.8984375,422688.0,44596.9296875
2015-02-09,45340.4609375,44249.6328125,45055.8984375,45055.8984375,253186.0,44596.9296875
2015-02-10,44866.1875,43063.953125,44866.1875,43870.21484375,374979.0,43423.328125
2015-02-11,45008.46875,43348.515625,44154.78125,44629.05078125,306361.0,44174.43359375
2015-02-12,44818.76171875,43775.36328125,44723.90625,44581.625,186696.0,44127.48828125
2015-02-13,45577.59765625,44012.49609375,44534.19921875,44202.20703125,272022.0,43751.9375
2015-02-16,44107.3515625,43111.37890625,44012.49609375,43206.234375,292149.0,42766.109375
2015-02-17,44012.49609375,43206.234375,43395.9453125,43633.078125,200029.0,43188.60546875
2015-02-23,44723.90625,43490.796875,43680.5078125,43585.65234375,358680.0,43141.66015625
2015-02-24,43633.078125,42399.97265625,43633.078125,42731.9609375,613568.0,42296.66796875
2015-02-25,44439.34375,42589.6796875,42874.2421875,43917.64453125,581357.0,43470.2734375
2015-02-26,45625.0234375,42779.390625,43633.078125,45625.0234375,831863.0,45160.26171875
2015-02-27,47616.96875,45055.8984375,45672.453125,47616.96875,942304.0,47131.9140625
2015-03-02,47806.6796875,46289.0078125,47237.55078125,46858.1328125,567520.0,46380.80859375
2015-03-03,46905.5625,44913.6171875,46478.71484375,45150.75390625,657558.0,44690.8203125
2015-03-04,45482.7421875,44107.3515625,45150.75390625,44297.0625,638244.0,43845.82421875
2015-03-05,45103.32421875,44059.92578125,44534.19921875,44107.3515625,346208.0,43658.046875
2015-03-06,44439.34375,43490.796875,44154.78125,44249.6328125,485952.0,43798.8828125
2015-03-09,44391.91796875,43490.796875,44154.78125,43538.2265625,244262.0,43094.72265625
2015-03-10,44012.49609375,42731.9609375,43633.078125,42779.390625,364421.0,42343.6171875
2015-03-11,42921.671875,41688.5625,42589.6796875,41688.5625,540900.0,41263.8984375
2015-03-12,42969.09765625,40977.15234375,41451.42578125,42542.25390625,572992.0,42108.89453125
2015-03-13,43490.796875,41166.86328125,43158.80859375,41593.70703125,709642.0,41170.0078125
